,count,mean,std,min,25%,50%,75%,max
RoA (ib/at),140718.0,0.03508973413644012,0.08531745331179215,-0.3748833701734286,0.010817502422441927,0.03687011542306169,0.07246867966103165,0.2583981350522245
Treated x Post (DiD),140718.0,0.19864551798632726,0.3989819637725412,0.0,0.0,0.0,0.0,1.0
R&D Intensity (xrd/at),140718.0,0.02070574008428593,0.03184813870119852,0.0,0.0,0.008939975753229858,0.028038970527262452,0.18760482547276033
Firm Size (log assets),140718.0,9.241364004544653,2.3663229571415685,0.6714126884139392,7.460283149720062,8.857181809238973,10.884233972380642,19.92125090199528
Leverage (dltt/at),140718.0,0.07265452183413332,0.10041567062681787,0.0,0.0,0.026103260773012157,0.11210604979656666,0.45802949550538924
CAPX Intensity (capx/at),140718.0,0.04526133573772192,0.04832530323708265,0.00026431124216515786,0.01135371122964241,0.02926031891230139,0.06153278033386602,0.24556827336818415
Cash Ratio (che/at),140718.0,0.23018701470179878,0.16637498853461086,0.013324074518398957,0.1047728346996497,0.18726988130449224,0.31391940810193447,0.7704251644500495
